"position","const","created","modified","description","Title","Title type","Directors","Dr-Faustus rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt5477340","Sat May 21 04:29:32 2016","Sat May 21 04:29:32 2016","","Raised on Media","Feature Film","Jared Miller","","9.0","65","2016","crime","6","2016-07-01","http://www.imdb.com/title/tt5477340/"
"2","tt3748528","Sun Aug 16 03:24:12 2015","Sun Aug 16 03:24:12 2015","","Star Wars: Rogue One","Feature Film","Gareth Edwards","","8.1","133","2016","action, adventure, sci_fi","197942","2016-12-10","http://www.imdb.com/title/tt3748528/"
"3","tt2543164","Sat Aug 13 12:15:52 2016","Sat Aug 13 12:15:52 2016","","Arrival","Feature Film","Denis Villeneuve","","8.3","116","2016","drama, mystery, sci_fi, thriller","109444","2016-09-01","http://www.imdb.com/title/tt2543164/"
"4","tt0490215","Mon Nov 16 10:00:08 2015","Mon Nov 16 10:00:08 2015","","Silence","Feature Film","Martin Scorsese","","7.7","161","2016","drama, history","3050","2016-11-29","http://www.imdb.com/title/tt0490215/"
"5","tt2361317","Fri Sep  9 01:04:01 2016","Fri Sep  9 01:04:01 2016","","Live by Night","Feature Film","Ben Affleck","","7.4","128","2016","crime, drama","757","2016-12-13","http://www.imdb.com/title/tt2361317/"
"6","tt1355644","Thu Jul 28 03:43:21 2016","Thu Jul 28 03:43:21 2016","","Passengers","Feature Film","Morten Tyldum","","7.1","116","2016","adventure, drama, romance, sci_fi","33443","2016-12-14","http://www.imdb.com/title/tt1355644/"
"7","tt1211837","Sun Aug 23 02:45:29 2015","Sun Aug 23 02:45:29 2015","","Dr. Strange","Feature Film","Scott Derrickson","","7.9","115","2016","action, adventure, fantasy, sci_fi","166201","2016-10-13","http://www.imdb.com/title/tt1211837/"
"8","tt2119532","Tue Dec 29 01:29:26 2015","Tue Dec 29 01:29:26 2015","","Hacksaw Ridge - Die Entscheidung","Feature Film","Mel Gibson","","8.5","139","2016","drama, history, war","44136","2016-09-04","http://www.imdb.com/title/tt2119532/"
"9","tt4550098","Wed Feb 17 04:35:30 2016","Wed Feb 17 04:35:30 2016","","Nocturnal Animals","Feature Film","Tom Ford","","7.8","116","2016","drama, thriller","34749","2016-09-02","http://www.imdb.com/title/tt4550098/"
"10","tt2404435","Wed Apr 20 06:40:13 2016","Wed Apr 20 06:40:13 2016","","Die glorreichen Sieben","Feature Film","Antoine Fuqua","","7.0","133","2016","action, adventure, western","77687","2016-09-08","http://www.imdb.com/title/tt2404435/"
"11","tt4776998","Wed Jun 29 04:30:32 2016","Wed Jun 29 04:30:32 2016","","The Promise","Feature Film","Terry George","","4.1","134","2016","drama, history","93281","2016-09-11","http://www.imdb.com/title/tt4776998/"
"12","tt2034800","Sun Jul 31 13:18:29 2016","Sun Jul 31 13:18:29 2016","","The Great Wall","Feature Film","Zhang Yimou ","","6.0","104","2016","action, adventure, fantasy, mystery, thriller","3427","2016-12-16","http://www.imdb.com/title/tt2034800/"
"13","tt3717252","Sat Sep 24 02:36:53 2016","Sat Sep 24 02:36:53 2016","","Underworld: Blood Wars","Feature Film","Anna Foerster","","6.4","91","2016","action, horror","6351","2016-11-24","http://www.imdb.com/title/tt3717252/"
